model,kernel,delta_ood,setting,qs,seed
svc,linear,0.04279761721040776,m1_hist_byteent__ms123__q4000_id1800_ood1800,42,999
svc,matern15_med,-0.00031544183462453026,m1_hist_byteent__ms123__q4000_id1800_ood1800,42,999
svc,matern25_med,0.003079724682860574,m1_hist_byteent__ms123__q4000_id1800_ood1800,42,999
svc,poly2,0.0009080527176764663,m1_hist_byteent__ms123__q4000_id1800_ood1800,42,999
svc,poly3,0.023344547671224423,m1_hist_byteent__ms123__q4000_id1800_ood1800,42,999
svc,rbf_gscale,0.004776690638599956,m1_hist_byteent__ms123__q4000_id1800_ood1800,42,999
gpc,laplacian_med,0.0035691982514291175,m1_hist_byteent__ms42__q1000_id500_ood500,123,123
gpc,linear,-0.018273526444732745,m1_hist_byteent__ms42__q1000_id500_ood500,123,123
gpc,matern15_med,0.0048630126018798904,m1_hist_byteent__ms42__q1000_id500_ood500,123,123
gpc,matern25_med,0.007018302349041638,m1_hist_byteent__ms42__q1000_id500_ood500,123,123
gpc,poly2,-0.013974155738098681,m1_hist_byteent__ms42__q1000_id500_ood500,123,123
gpc,poly3,-0.027817008534691157,m1_hist_byteent__ms42__q1000_id500_ood500,123,123
gpc,rbf_gscale,0.012007814126275074,m1_hist_byteent__ms42__q1000_id500_ood500,123,123
svc,laplacian_med,0.001646090534979483,m1_hist_byteent__ms42__q1000_id500_ood500,123,123
svc,linear,0.07909561095899187,m1_hist_byteent__ms42__q1000_id500_ood500,123,123
svc,matern15_med,0.0016460905349793941,m1_hist_byteent__ms42__q1000_id500_ood500,123,123
svc,matern25_med,-0.001923107716449679,m1_hist_byteent__ms42__q1000_id500_ood500,123,123
svc,poly2,-0.001543610190389244,m1_hist_byteent__ms42__q1000_id500_ood500,123,123
svc,poly3,0.04657571536084289,m1_hist_byteent__ms42__q1000_id500_ood500,123,123
svc,rbf_gscale,0.03414677106851769,m1_hist_byteent__ms42__q1000_id500_ood500,123,123
gpc,laplacian_med,0.0035691982514291175,m1_hist_byteent__ms42__q1000_id500_ood500,123,42
gpc,linear,-0.018273526444732745,m1_hist_byteent__ms42__q1000_id500_ood500,123,42
