task,stratum,seed,family,kernel,dim,candidate_id,model,regularization,c_selected,c_cv_score,split,fit_seconds,kernel_backend,accuracy,balanced_accuracy,f1_macro,f1_pos,roc_auc,pr_auc,log_loss,brier,ece,mean_predictive_entropy
acsincome,q2000,999,quantum,zz_r2_full__as2,10,zz_r2_full__as2__d10,svc,train_cv,1.0,0.5876216151636809,id_test,0.03999924659729,cuda,0.742,0.6394440743208232,0.6493631456203011,0.4691358024691358,0.7036605226145533,0.6026034546659825,,,,
acsincome,q2000,999,quantum,zz_r2_full__as2,10,zz_r2_full__as2__d10,svc,train_cv,1.0,0.5876216151636809,ood_test,0.03999924659729,cuda,0.669,0.6150105673337296,0.6001328863519677,0.4341880341880342,0.6754177399114986,0.6342435759215879,,,,
acsincome,q2000,999,quantum,zz_r2_full__as2,10,zz_r2_full__as2__d10,gpc,not_applicable,,,validation,1.7041902542114258,cuda,0.706,0.5411076326774001,0.4998605053110051,0.1787709497206704,0.6601818723911747,0.5122562562938664,0.6145331789224863,0.2114806407197008,0.1024039224554896,0.6669414666720592
acsincome,q2000,999,quantum,zz_r2_full__as2,10,zz_r2_full__as2__d10,gpc,not_applicable,,,id_test,1.7041902542114258,cuda,0.734,0.5842216300244282,0.5661506142393935,0.2962962962962963,0.6666666666666666,0.5734787507476786,0.6065413229996124,0.2075649751900095,0.1409883912419317,0.6682018533975527
acsincome,q2000,999,quantum,zz_r2_full__as2,10,zz_r2_full__as2__d10,gpc,not_applicable,,,ood_test,1.7041902542114258,cuda,0.646,0.5732943662902054,0.5188936184092503,0.2716049382716049,0.6495401558681726,0.617773351677965,0.6467142717231463,0.2273128454481529,0.0671199012258512,0.667243701344917
acsincome,q2000,999,quantum,zz_r2_full__as2,10,zz_r2_full__as2__d10,svc,fixed_c1,1.0,,validation,0.0464756488800048,cuda,0.716,0.5834078711985689,0.5778935102613493,0.3364485981308411,0.6679524448419797,0.5103298795183243,,,,
acsincome,q2000,999,quantum,zz_r2_full__as2,10,zz_r2_full__as2__d10,svc,fixed_c1,1.0,,id_test,0.0464756488800048,cuda,0.742,0.6394440743208232,0.6493631456203011,0.4691358024691358,0.7036605226145533,0.6026034546659825,,,,
acsincome,q2000,999,quantum,zz_r2_full__as2,10,zz_r2_full__as2__d10,svc,fixed_c1,1.0,,ood_test,0.0464756488800048,cuda,0.669,0.6150105673337296,0.6001328863519677,0.4341880341880342,0.6754177399114986,0.6342435759215879,,,,
acsincome,q2000,999,quantum,pauli_xz_r1_full__as2,10,pauli_xz_r1_full__as2__d10,svc,train_cv,1.0,0.6541352045179556,validation,0.0306239128112792,cuda,0.676,0.6524299344066786,0.6420427427480511,0.5317919075144508,0.7057431425163982,0.5348921408475751,,,,
acsincome,q2000,999,quantum,pauli_xz_r1_full__as2,10,pauli_xz_r1_full__as2__d10,svc,train_cv,1.0,0.6541352045179556,id_test,0.0306239128112792,cuda,0.714,0.6989969649863055,0.6861268047708726,0.5925925925925926,0.7584943371085943,0.6381087583337897,,,,
