source,setting,qs,model,scope,predictor,kind,rho,n_cells,group
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,123,gpc,quantum,kta_id,honest,-0.08273787723132078,20,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,123,gpc,quantum,spec_train_eff_rank,honest,0.6250470543566143,20,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,123,gpc,quantum,ood_novelty_ratio,label_free,-0.7153065567907825,20,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,123,svc,all,kta_ood,diagnostic,0.7547001937900875,30,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,123,svc,all,kta_drop_id_to_ood,diagnostic,-0.6830570739786465,30,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,123,svc,all,kta_train,honest,-0.5008343561973724,30,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,123,svc,all,kta_id,honest,-0.2832350668321879,30,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,123,svc,all,spec_train_eff_rank,honest,0.702636560138295,30,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,123,svc,all,ood_novelty_ratio,label_free,-0.8047613799937342,30,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,123,svc,quantum,kta_ood,diagnostic,0.669172932330827,20,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,123,svc,quantum,kta_drop_id_to_ood,diagnostic,-0.5022556390977443,20,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,123,svc,quantum,kta_train,honest,-0.156390977443609,20,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,123,svc,quantum,kta_id,honest,-0.13533834586466165,20,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,123,svc,quantum,spec_train_eff_rank,honest,0.6947368421052631,20,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,123,svc,quantum,ood_novelty_ratio,label_free,-0.8075187969924811,20,ember_m1
ember,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,gpc,all,kta_ood,diagnostic,0.33793103448275863,30,ember_m1
