setting,model,p1_ood_mean,p1_ood_std,p1_id_mean,p1_n_runs,p2_ood_mean,p2_n_folds,p3_ood_mean,p3_cfg,fam,n_candidates,group
unsw_recon__m2_centroid__ms123__q4000_id1800_ood1800,gpc,0.9208974131626679,0.02783639080925505,0.8989448903082746,15,0.9522688707654474,5,0.9527172746845373,pauli_xz_r1_full__gpc__d12,quantum,20,unsw_recon_m2_centroid
unsw_recon__m2_centroid__ms123__q4000_id1800_ood1800,svc,0.9429689321987704,0.02158991385102636,0.9003251667830668,15,0.953521623469916,5,0.9535216234699161,zmap_r2__svc__d12,quantum,20,unsw_recon_m2_centroid
unsw_recon__m2_centroid__ms42__q1000_id500_ood500,gpc,0.8830364234237629,0.0159461889673125,0.8952347506736099,15,0.8900089578249352,5,0.9020380752620856,zmap_r2__gpc__d12,quantum,20,unsw_recon_m2_centroid
unsw_recon__m2_centroid__ms42__q1000_id500_ood500,svc,0.8832892622131507,0.02146991585707925,0.8973727506902445,15,0.9047977467845293,5,0.9092090173648586,zmap_r2__svc__d12,quantum,20,unsw_recon_m2_centroid
unsw_recon__m2_centroid__ms42__q2000_id1000_ood1000,gpc,0.9065254517762891,0.007740846747677687,0.9076821580237602,15,0.9227046432246635,5,0.9246116477218623,zmap_r2__gpc__d12,quantum,20,unsw_recon_m2_centroid
unsw_recon__m2_centroid__ms42__q2000_id1000_ood1000,svc,0.9030765625350798,0.011853496604608592,0.9104989448077083,15,0.9345729831099895,5,0.9345729831099895,pauli_xz_r1_full__svc__d12,quantum,20,unsw_recon_m2_centroid
unsw_recon__m2_centroid__ms42__q4000_id1800_ood1800,gpc,0.9187730173601971,0.021474571262523477,0.9064909174409649,15,0.9418479941679564,5,0.9418479941679564,pauli_xz_r1_full__gpc__d12,quantum,20,unsw_recon_m2_centroid
unsw_recon__m2_centroid__ms42__q4000_id1800_ood1800,svc,0.9234538064364813,0.018636928195754892,0.9104760863208468,15,0.942737742501673,5,0.9432492695132475,pauli_xz_r1_full__svc__d12,quantum,20,unsw_recon_m2_centroid
unsw_recon__m2_centroid__ms999__q1000_id500_ood500,gpc,0.8848851380475399,0.02383590369114168,0.8950601396265363,15,0.9056157733543344,5,0.9104426090242658,pauli_xz_r1_full__gpc__d12,quantum,20,unsw_recon_m2_centroid
unsw_recon__m2_centroid__ms999__q1000_id500_ood500,svc,0.8948866260032168,0.015059060178803516,0.8945740996916481,15,0.912366493219572,5,0.9175457760880978,zmap_r2__svc__d12,quantum,20,unsw_recon_m2_centroid
unsw_recon__m2_centroid__ms999__q2000_id1000_ood1000,gpc,0.8865862618232502,0.030610145295477408,0.8996073771525924,15,0.937337528359965,5,0.9411209228777263,zmap_r2__gpc__d12,quantum,20,unsw_recon_m2_centroid
unsw_recon__m2_centroid__ms999__q2000_id1000_ood1000,svc,0.9067768671967319,0.012555232611893617,0.8995064058948764,15,0.9438757856594793,5,0.9438757856594792,zmap_r2__svc__d12,quantum,20,unsw_recon_m2_centroid
