variant_name,master_seed,size_tag,family,dim,cfg,n_runs,drop_bal_acc_mean,drop_bal_acc_std
m1_hist_byteent,123,size_q4000_id1800_ood1800,classical,4,linear,15,-0.04915155649867775,0.020092207633170944
m1_hist_byteent,123,size_q4000_id1800_ood1800,classical,12,rbf_gscale,15,-0.02916671272166372,0.024429279375387126
m1_hist_byteent,123,size_q4000_id1800_ood1800,classical,10,rbf_gscale,15,-0.02427558573822024,0.027645207517873353
m1_hist_byteent,123,size_q4000_id1800_ood1800,classical,8,rbf_gscale,15,-0.019682541337874875,0.01633016532909772
m1_hist_byteent,123,size_q4000_id1800_ood1800,classical,6,rbf_gscale,15,-0.016961517408543687,0.01769236544371293
m1_hist_byteent,123,size_q4000_id1800_ood1800,classical,10,linear,15,-0.013934456277331734,0.015650812868842644
m1_hist_byteent,123,size_q4000_id1800_ood1800,classical,4,rbf_gscale,15,-0.012482989730060345,0.014468018987029343
m1_hist_byteent,123,size_q4000_id1800_ood1800,classical,12,linear,15,-0.007636204940712436,0.00932392257064878
m1_hist_byteent,123,size_q4000_id1800_ood1800,classical,8,linear,15,-0.0029659560377114516,0.01231541371638772
m1_hist_byteent,123,size_q4000_id1800_ood1800,classical,6,linear,15,-0.0010011874365128738,0.02012780749718599
m1_hist_byteent,123,size_q4000_id1800_ood1800,quantum,6,zmap_r2__d6,15,-0.014580171868436076,0.010626900373360787
m1_hist_byteent,123,size_q4000_id1800_ood1800,quantum,4,pauli_xz_r1_full__d4,15,-0.011045958784430961,0.012793530764500939
m1_hist_byteent,123,size_q4000_id1800_ood1800,quantum,6,pauli_xz_r1_full__d6,15,-0.009485914219802901,0.013258416798953131
m1_hist_byteent,123,size_q4000_id1800_ood1800,quantum,4,zmap_r2__d4,15,-0.007990240450594472,0.00831119356091852
m1_hist_byteent,123,size_q4000_id1800_ood1800,quantum,8,zmap_r2__d8,15,0.008380822092592121,0.02173886745792457
m1_hist_byteent,123,size_q4000_id1800_ood1800,quantum,8,pauli_xz_r1_full__d8,15,0.009002555527317487,0.020915411233194122
m1_hist_byteent,123,size_q4000_id1800_ood1800,quantum,10,pauli_xz_r1_full__d10,15,0.020419052575847477,0.015791506996100723
m1_hist_byteent,123,size_q4000_id1800_ood1800,quantum,12,pauli_xz_r1_full__d12,15,0.02053337322005864,0.008707485169656411
m1_hist_byteent,123,size_q4000_id1800_ood1800,quantum,12,zmap_r2__d12,15,0.023018372388662386,0.00980203642881045
m1_hist_byteent,123,size_q4000_id1800_ood1800,quantum,10,zmap_r2__d10,15,0.02356744088587838,0.010099905604585607
