group,setting,qs,seed,model,p1_ood_quantum,p1_ood_classical,delta,n_classical,n_quantum
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,999,42,svc,0.763597924274457,0.6518915369338203,0.11170638734063676,115,60
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,999,123,svc,0.763597924274457,0.6518915369338203,0.11170638734063676,115,60
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,999,999,svc,0.763597924274457,0.6518915369338203,0.11170638734063676,115,60
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,2024,42,svc,0.7188315639461338,0.7251004787753599,-0.006268914829226091,115,60
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,2024,123,svc,0.7188315639461338,0.7251004787753599,-0.006268914829226091,115,60
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,2024,999,svc,0.7188315639461338,0.7251004787753599,-0.006268914829226091,115,60
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,7,42,svc,0.7435103279493366,0.7365126986227339,0.006997629326602639,115,60
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,7,123,svc,0.7435103279493366,0.7339052052172128,0.009605122732123772,115,60
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,7,999,svc,0.7435103279493366,0.7339052052172128,0.009605122732123772,115,60
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,42,42,svc,0.7329145961295102,0.7497422759961727,-0.01682767986666256,115,60
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,42,123,svc,0.7329145961295102,0.7491897898083275,-0.016275193678817357,115,60
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,42,999,svc,0.7329145961295102,0.7491897898083275,-0.016275193678817357,115,60
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,123,42,svc,0.7269852554789651,0.7395010973385676,-0.012515841859602528,115,60
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,123,123,svc,0.7269852554789651,0.7395010973385676,-0.012515841859602528,115,60
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,123,999,svc,0.7269852554789651,0.7395010973385676,-0.012515841859602528,115,60
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,999,42,svc,0.7450995766034185,0.740668050412469,0.004431526190949553,115,60
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,999,123,svc,0.7450995766034185,0.7401056207161811,0.004993955887237389,115,60
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,999,999,svc,0.7450995766034185,0.7401056207161811,0.004993955887237389,115,60
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,2024,42,svc,0.7397374517374518,0.7313359073359074,0.008401544401544392,115,60
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,2024,123,svc,0.7397374517374518,0.7313359073359074,0.008401544401544392,115,60
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,2024,999,svc,0.7397374517374518,0.7313359073359074,0.008401544401544392,115,60
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,7,42,svc,0.7318653886159607,0.743819109951833,-0.011953721335872247,115,60
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,7,123,svc,0.7318653886159607,0.743819109951833,-0.011953721335872247,115,60
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,7,999,svc,0.7318653886159607,0.743819109951833,-0.011953721335872247,115,60
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,42,42,svc,0.7764472336065573,0.7280353483606558,0.048411885245901565,115,60
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,42,123,svc,0.7764472336065573,0.7280353483606558,0.048411885245901565,115,60
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,42,999,svc,0.7764472336065573,0.7280353483606558,0.048411885245901565,115,60
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,123,42,svc,0.7381547132952235,0.7527421498454789,-0.014587436550255406,115,60
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,123,123,svc,0.7381547132952235,0.7527421498454789,-0.014587436550255406,115,60
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,123,999,svc,0.7381547132952235,0.7527421498454789,-0.014587436550255406,115,60
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,999,42,svc,0.7983991185430035,0.7812722794737184,0.017126839069285138,115,60
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,999,123,svc,0.7983991185430035,0.7812722794737184,0.017126839069285138,115,60
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,999,999,svc,0.7983991185430035,0.7812722794737184,0.017126839069285138,115,60
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,2024,42,svc,0.7571685162614664,0.7770062223362628,-0.019837706074796402,115,60
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,2024,123,svc,0.7571685162614664,0.7770062223362628,-0.019837706074796402,115,60
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,2024,999,svc,0.7571685162614664,0.7770062223362628,-0.019837706074796402,115,60
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,7,42,svc,0.7204094574147433,0.7838388338370278,-0.06342937642228452,115,60
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,7,123,svc,0.7204094574147433,0.7838388338370278,-0.06342937642228452,115,60
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,7,999,svc,0.7204094574147433,0.7838388338370278,-0.06342937642228452,115,60
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,42,42,svc,0.7691707605895248,0.7880654814293259,-0.018894720839801038,115,60
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,42,123,svc,0.7691707605895248,0.7880654814293259,-0.018894720839801038,115,60
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,42,999,svc,0.7691707605895248,0.7880654814293259,-0.018894720839801038,115,60
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,123,42,svc,0.8032871083718541,0.7916506163328196,0.011636492039034496,115,60
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,123,123,svc,0.8032871083718541,0.79070364663585,0.012583461736004109,115,60
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,123,999,svc,0.8032871083718541,0.7916506163328196,0.011636492039034496,115,60
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,999,42,svc,0.7742007816003588,0.7913943878531617,-0.017193606252802973,115,60
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,999,123,svc,0.7742007816003588,0.7913943878531617,-0.017193606252802973,115,60
