group,setting,model,scheme,budget,delta_median,delta_p2.5,delta_p97.5,frac_lt0
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q4000_id1800_ood1800,svc,kernel_blocked,60,0.008043716439835147,-0.01978573411601889,0.023755263798804216,0.3898
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms999__q1000_id500_ood500,svc,kernel_blocked,60,0.0019067859960582023,-0.012083503747408075,0.021129204684414815,0.4566
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms999__q2000_id1000_ood1000,svc,kernel_blocked,60,-0.023105886079555826,-0.0510381923349138,-0.00015892641091075355,0.9758
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms999__q4000_id1800_ood1800,svc,kernel_blocked,60,-0.07944786227385825,-0.0955953413905476,-0.05856672948959274,1.0
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms123__q1000_id500_ood500,svc,uniform,60,0.023220790507571087,-0.005511782081583023,0.040260930635080266,0.0314
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms123__q2000_id1000_ood1000,svc,uniform,60,-0.00710975049492979,-0.013048857544405327,0.001757971383382176,0.9542
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms123__q4000_id1800_ood1800,svc,uniform,60,-0.005144575287300834,-0.007387817869860092,0.002538263002744826,0.7626
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q1000_id500_ood500,svc,uniform,60,-0.0031965636040693912,-0.010092294368506272,0.0024695985198803783,0.814
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q2000_id1000_ood1000,svc,uniform,60,-0.021897567429712828,-0.026783822332636653,-0.014488178664761079,1.0
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q4000_id1800_ood1800,svc,uniform,60,-0.0022342993794236543,-0.009038510732359681,0.0030602587074493037,0.8246
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms999__q1000_id500_ood500,svc,uniform,60,-0.005049526250885172,-0.014667486897476805,0.030027644518290816,0.7314
