setting,qs,seed,group,quantum_ood_original,classical_ood_original,delta_original,quantum_ood_ablated,classical_ood_ablated,delta_ablated,delta,ablation_change,ms,size,dataset
unsw_dos__natural_cur__ms42__q1000_id500_ood500,123,42,unsw_dos_natural_cur,0.8225568845975244,0.8241258906983076,-0.0015690061007831435,0.808489856047141,0.8323738835246836,-0.02388402747754259,-0.02388402747754259,-0.022315021376759447,42,1000,unsw
unsw_dos__natural_cur__ms42__q1000_id500_ood500,123,123,unsw_dos_natural_cur,0.8225568845975244,0.8241258906983076,-0.0015690061007831435,0.808489856047141,0.8323738835246836,-0.02388402747754259,-0.02388402747754259,-0.022315021376759447,42,1000,unsw
unsw_dos__natural_cur__ms42__q1000_id500_ood500,123,999,unsw_dos_natural_cur,0.8225568845975244,0.8241640229940272,-0.0016071383965028385,0.808489856047141,0.8323738835246836,-0.02388402747754259,-0.02388402747754259,-0.022276889081039752,42,1000,unsw
unsw_dos__natural_cur__ms42__q1000_id500_ood500,999,42,unsw_dos_natural_cur,0.8056397184950064,0.7960977267990831,0.009541991695923291,0.817662995559403,0.8040542426137003,0.01360875294570274,0.01360875294570274,0.004066761249779449,42,1000,unsw
unsw_dos__natural_cur__ms42__q1000_id500_ood500,999,123,unsw_dos_natural_cur,0.8056397184950064,0.7960977267990831,0.009541991695923291,0.817662995559403,0.8040542426137003,0.01360875294570274,0.01360875294570274,0.004066761249779449,42,1000,unsw
unsw_dos__natural_cur__ms42__q1000_id500_ood500,999,999,unsw_dos_natural_cur,0.8056397184950064,0.7960977267990831,0.009541991695923291,0.817662995559403,0.8040542426137003,0.01360875294570274,0.01360875294570274,0.004066761249779449,42,1000,unsw
unsw_dos__natural_cur__ms42__q1000_id500_ood500,2024,42,unsw_dos_natural_cur,0.7977148709414155,0.8104010561520859,-0.012686185210670442,0.7855691219535612,0.811854916708006,-0.026285794754444813,-0.026285794754444813,-0.013599609543774371,42,1000,unsw
unsw_dos__natural_cur__ms42__q1000_id500_ood500,2024,123,unsw_dos_natural_cur,0.7977148709414155,0.8104010561520859,-0.012686185210670442,0.7855691219535612,0.8119350786513257,-0.026365956697764537,-0.026365956697764537,-0.013679771487094095,42,1000,unsw
unsw_dos__natural_cur__ms42__q1000_id500_ood500,2024,999,unsw_dos_natural_cur,0.7977148709414155,0.8104010561520859,-0.012686185210670442,0.7855691219535612,0.811854916708006,-0.026285794754444813,-0.026285794754444813,-0.013599609543774371,42,1000,unsw
unsw_dos__natural_cur__ms999__q1000_id500_ood500,7,42,unsw_dos_natural_cur,0.8155513922915566,0.8308150998382731,-0.015263707546716465,0.8319002097644553,0.8288058397783862,0.0030943699860691565,0.0030943699860691565,0.01835807753278562,999,1000,unsw
unsw_dos__natural_cur__ms999__q1000_id500_ood500,7,123,unsw_dos_natural_cur,0.8155513922915566,0.8308150998382731,-0.015263707546716465,0.8319002097644553,0.8288058397783862,0.0030943699860691565,0.0030943699860691565,0.01835807753278562,999,1000,unsw
unsw_dos__natural_cur__ms999__q1000_id500_ood500,7,999,unsw_dos_natural_cur,0.8155513922915566,0.8308150998382731,-0.015263707546716465,0.8319002097644553,0.8288058397783862,0.0030943699860691565,0.0030943699860691565,0.01835807753278562,999,1000,unsw
unsw_dos__natural_cur__ms999__q1000_id500_ood500,42,42,unsw_dos_natural_cur,0.8302061987704918,0.8337371349897541,-0.0035309362192622595,0.7856685450819672,0.825530321465164,-0.03986177638319688,-0.03986177638319688,-0.03633084016393462,999,1000,unsw
