regularization,selection,reference,budget_mode,group,qs,cluster_effect
fixed_c1,ood_test,extended,equal_count,unsw_recon_m2_centroid,2024,0.0017113450723225492
fixed_c1,ood_test,extended,equal_count,unsw_recon_natural_cur,7,-0.0006715394845099434
fixed_c1,ood_test,extended,equal_count,unsw_recon_natural_cur,42,0.0030534118204864503
fixed_c1,ood_test,extended,equal_count,unsw_recon_natural_cur,123,0.006205729715707579
fixed_c1,ood_test,extended,equal_count,unsw_recon_natural_cur,999,0.0035783783958372637
fixed_c1,ood_test,extended,equal_count,unsw_recon_natural_cur,2024,0.0025593261295366876
fixed_c1,ood_test,extended,native,ember_m1,7,-0.010889568097806132
fixed_c1,ood_test,extended,native,ember_m1,42,-0.00552851775956283
fixed_c1,ood_test,extended,native,ember_m1,123,-0.009927783382171596
fixed_c1,ood_test,extended,native,ember_m1,999,-0.0037645559228293526
fixed_c1,ood_test,extended,native,ember_m1,2024,0.00933885004383428
fixed_c1,ood_test,extended,native,ember_m2,7,-0.0028430760696207167
fixed_c1,ood_test,extended,native,ember_m2,42,0.0030630976775956422
fixed_c1,ood_test,extended,native,ember_m2,123,-0.010325428469253292
fixed_c1,ood_test,extended,native,ember_m2,999,-0.0033216669907317384
fixed_c1,ood_test,extended,native,ember_m2,2024,-0.003442598413411213
fixed_c1,ood_test,extended,native,toniot_scanning_m2_centroid,7,0.0032937767183449282
fixed_c1,ood_test,extended,native,toniot_scanning_m2_centroid,42,0.0012960053721526865
fixed_c1,ood_test,extended,native,toniot_scanning_m2_centroid,123,-0.00700372499486801
fixed_c1,ood_test,extended,native,toniot_scanning_m2_centroid,999,0.0005669584845165628
fixed_c1,ood_test,extended,native,toniot_scanning_m2_centroid,2024,-0.0017659937610695743
fixed_c1,ood_test,extended,native,toniot_scanning_natural_cur,7,0.0006313131313131493
fixed_c1,ood_test,extended,native,toniot_scanning_natural_cur,42,0.0
fixed_c1,ood_test,extended,native,toniot_scanning_natural_cur,123,-0.0007149484446508092
fixed_c1,ood_test,extended,native,toniot_scanning_natural_cur,999,4.806228872615096e-05
fixed_c1,ood_test,extended,native,toniot_scanning_natural_cur,2024,0.0007478632478632452
fixed_c1,ood_test,extended,native,unsw_dos_m2_centroid,7,0.0011977148583010762
fixed_c1,ood_test,extended,native,unsw_dos_m2_centroid,42,-0.0027174111181067495
fixed_c1,ood_test,extended,native,unsw_dos_m2_centroid,123,-0.004618053206775404
fixed_c1,ood_test,extended,native,unsw_dos_m2_centroid,999,0.0005959191757714718
fixed_c1,ood_test,extended,native,unsw_dos_m2_centroid,2024,-0.002797026758725507
fixed_c1,ood_test,extended,native,unsw_dos_natural_cur,7,0.016082077449181886
fixed_c1,ood_test,extended,native,unsw_dos_natural_cur,42,-0.001706166450300454
fixed_c1,ood_test,extended,native,unsw_dos_natural_cur,123,0.006521748128761422
fixed_c1,ood_test,extended,native,unsw_dos_natural_cur,999,0.021196839546391438
fixed_c1,ood_test,extended,native,unsw_dos_natural_cur,2024,0.0004094048297448554
fixed_c1,ood_test,extended,native,unsw_recon_m2_centroid,7,-0.003478524382023266
fixed_c1,ood_test,extended,native,unsw_recon_m2_centroid,42,-0.0033947235424072555
fixed_c1,ood_test,extended,native,unsw_recon_m2_centroid,123,0.0019685039370078337
fixed_c1,ood_test,extended,native,unsw_recon_m2_centroid,999,-0.0021321380273087534
fixed_c1,ood_test,extended,native,unsw_recon_m2_centroid,2024,-0.002107446416741987
fixed_c1,ood_test,extended,native,unsw_recon_natural_cur,7,-0.005410476321766648
fixed_c1,ood_test,extended,native,unsw_recon_natural_cur,42,0.0008436088819443835
fixed_c1,ood_test,extended,native,unsw_recon_natural_cur,123,0.00419050102063175
fixed_c1,ood_test,extended,native,unsw_recon_natural_cur,999,-0.0005038497633259587
fixed_c1,ood_test,extended,native,unsw_recon_natural_cur,2024,-0.0019308090802415319
train_cv,id_val,customary,equal_count,ember_m1,7,-0.06735909242041968
train_cv,id_val,customary,equal_count,ember_m1,42,0.006870125369990963
train_cv,id_val,customary,equal_count,ember_m1,123,-0.002459683236101587
train_cv,id_val,customary,equal_count,ember_m1,999,-0.01949915527037828
train_cv,id_val,customary,equal_count,ember_m1,2024,-0.026455691691434816
train_cv,id_val,customary,equal_count,ember_m2,7,-0.003151695444143917
train_cv,id_val,customary,equal_count,ember_m2,42,0.009914644524134745
train_cv,id_val,customary,equal_count,ember_m2,123,0.025041401347545348
train_cv,id_val,customary,equal_count,ember_m2,999,0.004281571499557176
train_cv,id_val,customary,equal_count,ember_m2,2024,0.017412929701142523
train_cv,id_val,customary,equal_count,toniot_scanning_m2_centroid,7,0.0022140559528219805
train_cv,id_val,customary,equal_count,toniot_scanning_m2_centroid,42,-0.0016447213262063738
train_cv,id_val,customary,equal_count,toniot_scanning_m2_centroid,123,0.0037460446852208592
