run,dataset,dim,scope,n_kernels,rho_rank_ktaood,rho_rank_survival
m1_hist_byteent__ms42__q1000_id500_ood500__qs2024__s999,ember,12,classical_only,19,0.9087719298245613,0.712280701754386
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s123,ember,4,all,23,0.9298418972332017,0.6521739130434783
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s123,ember,4,classical_only,19,0.9526315789473684,0.6280701754385966
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s123,ember,6,all,23,0.9318181818181819,0.5227272727272728
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s123,ember,6,classical_only,19,0.9017543859649122,0.48245614035087714
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s123,ember,8,all,23,0.9752964426877472,0.6926877470355731
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s123,ember,8,classical_only,19,0.9719298245614034,0.6543859649122807
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s123,ember,10,all,23,0.9733201581027668,0.6946640316205535
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s123,ember,10,classical_only,19,0.9701754385964911,0.5929824561403508
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s123,ember,12,all,23,0.8972332015810277,0.9061264822134387
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s123,ember,12,classical_only,19,0.9403508771929823,0.9526315789473684
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember,4,all,23,0.9298418972332017,0.6521739130434783
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember,4,classical_only,19,0.9526315789473684,0.6280701754385966
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember,6,all,23,0.9318181818181819,0.5227272727272728
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember,6,classical_only,19,0.9017543859649122,0.48245614035087714
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember,8,all,23,0.9752964426877472,0.6926877470355731
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember,8,classical_only,19,0.9719298245614034,0.6543859649122807
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember,10,all,23,0.9733201581027668,0.6946640316205535
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember,10,classical_only,19,0.9701754385964911,0.5929824561403508
