case,group,model,quantum_stratum,tier,n_observed,median_lower,q025_lower,q975_lower,median_upper,q025_upper,q975_upper
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,gpc,entangling_zz,customary_30,300,-0.064,-0.076,-0.05589999999999998,0.0,-0.02,0.02
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,gpc,entangling_zz,customary_30,400,-0.056,-0.0641,-0.052,-0.024,-0.04,-0.011899999999999978
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,gpc,entangling_zz,customary_30,500,-0.052,-0.052,-0.052,-0.052,-0.052,-0.052
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,gpc,entangling_zz,full_115,0,-0.342,-0.342,-0.342,0.066,0.066,0.066
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,gpc,entangling_zz,full_115,5,-0.334,-0.342,-0.326,0.066,0.06,0.066
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,gpc,entangling_zz,full_115,10,-0.33,-0.342,-0.314,0.064,0.056,0.066
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,gpc,entangling_zz,full_115,20,-0.316,-0.3301,-0.30189999999999995,0.062,0.052,0.066
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,gpc,entangling_zz,full_115,30,-0.302,-0.3181,-0.282,0.06,0.048,0.066
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,gpc,entangling_zz,full_115,40,-0.29,-0.31,-0.266,0.056,0.046,0.066
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,gpc,entangling_zz,full_115,50,-0.278,-0.298,-0.254,0.054,0.04,0.06405000000000001
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,gpc,entangling_zz,full_115,75,-0.246,-0.278,-0.214,0.049,0.036,0.06
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,gpc,entangling_zz,full_115,100,-0.214,-0.2422,-0.178,0.044,0.0279,0.058
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,gpc,entangling_zz,full_115,150,-0.146,-0.186,-0.106,0.032,0.0159,0.048
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,gpc,entangling_zz,full_115,200,-0.086,-0.122,-0.064,0.02,-9.999999999999788e-05,0.036
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,gpc,entangling_zz,full_115,300,-0.064,-0.076,-0.05589999999999998,-0.004,-0.022,0.016
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,gpc,entangling_zz,full_115,400,-0.056,-0.0641,-0.052,-0.028,-0.04005,-0.012
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,gpc,entangling_zz,full_115,500,-0.052,-0.052,-0.052,-0.052,-0.052,-0.052
05_unsw_dos_natural_cur,unsw_dos_natural_cur,gpc,entangling_zz,customary_30,0,-0.354,-0.354,-0.354,0.028,0.028,0.028
05_unsw_dos_natural_cur,unsw_dos_natural_cur,gpc,entangling_zz,customary_30,5,-0.35,-0.354,-0.342,0.028,0.024,0.028
05_unsw_dos_natural_cur,unsw_dos_natural_cur,gpc,entangling_zz,customary_30,10,-0.346,-0.354,-0.334,0.028,0.024,0.028
05_unsw_dos_natural_cur,unsw_dos_natural_cur,gpc,entangling_zz,customary_30,20,-0.338,-0.35,-0.32189999999999996,0.028,0.024,0.028
05_unsw_dos_natural_cur,unsw_dos_natural_cur,gpc,entangling_zz,customary_30,30,-0.326,-0.342,-0.31,0.028,0.02,0.028
05_unsw_dos_natural_cur,unsw_dos_natural_cur,gpc,entangling_zz,customary_30,40,-0.318,-0.338,-0.302,0.028,0.02,0.028
05_unsw_dos_natural_cur,unsw_dos_natural_cur,gpc,entangling_zz,customary_30,50,-0.31,-0.334,-0.286,0.028,0.02,0.028
05_unsw_dos_natural_cur,unsw_dos_natural_cur,gpc,entangling_zz,customary_30,75,-0.29,-0.3141,-0.266,0.024,0.016,0.028
05_unsw_dos_natural_cur,unsw_dos_natural_cur,gpc,entangling_zz,customary_30,100,-0.27,-0.2981,-0.24589999999999998,0.024,0.012,0.028
05_unsw_dos_natural_cur,unsw_dos_natural_cur,gpc,entangling_zz,customary_30,150,-0.226,-0.262,-0.2019,0.02,0.012,0.028
05_unsw_dos_natural_cur,unsw_dos_natural_cur,gpc,entangling_zz,customary_30,200,-0.186,-0.222,-0.15389999999999998,0.016,0.007900000000000003,0.028
05_unsw_dos_natural_cur,unsw_dos_natural_cur,gpc,entangling_zz,customary_30,300,-0.104,-0.138,-0.07,0.01,-0.004,0.02
05_unsw_dos_natural_cur,unsw_dos_natural_cur,gpc,entangling_zz,customary_30,400,-0.034,-0.046099999999999995,-0.026,-0.004,-0.014099999999999998,0.012
05_unsw_dos_natural_cur,unsw_dos_natural_cur,gpc,entangling_zz,customary_30,500,-0.022,-0.022,-0.022,-0.022,-0.022,-0.022
05_unsw_dos_natural_cur,unsw_dos_natural_cur,gpc,entangling_zz,full_115,0,-0.354,-0.354,-0.354,0.028,0.028,0.028
05_unsw_dos_natural_cur,unsw_dos_natural_cur,gpc,entangling_zz,full_115,5,-0.35,-0.354,-0.342,0.028,0.024,0.028
05_unsw_dos_natural_cur,unsw_dos_natural_cur,gpc,entangling_zz,full_115,10,-0.346,-0.354,-0.334,0.028,0.024,0.028
05_unsw_dos_natural_cur,unsw_dos_natural_cur,gpc,entangling_zz,full_115,20,-0.338,-0.35,-0.32189999999999996,0.028,0.024,0.028
05_unsw_dos_natural_cur,unsw_dos_natural_cur,gpc,entangling_zz,full_115,30,-0.326,-0.342,-0.31,0.028,0.02,0.028
