group,setting,qs,seed,model,p1_ood_quantum,p1_ood_classical,delta
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,999,123,svc,0.8141000712943159,0.8159310389526218,-0.0018309676583058154
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,999,999,svc,0.8141000712943159,0.8159310389526218,-0.0018309676583058154
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,2024,42,svc,0.7863718006286484,0.7865482070690872,-0.00017640644043881437
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,2024,123,svc,0.7863718006286484,0.7865482070690872,-0.00017640644043881437
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,2024,999,svc,0.7863718006286484,0.7865482070690872,-0.00017640644043881437
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,7,42,svc,0.7818601776375729,0.7866884198443564,-0.004828242206783573
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,7,123,svc,0.7818601776375729,0.7866884198443564,-0.004828242206783573
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,7,999,svc,0.7818601776375729,0.7866884198443564,-0.004828242206783573
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,42,42,svc,0.7918500264038022,0.7950544878462499,-0.0032044614424476814
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,42,123,svc,0.7918500264038022,0.7950544878462499,-0.0032044614424476814
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,42,999,svc,0.7918500264038022,0.7950544878462499,-0.0032044614424476814
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,123,42,svc,0.8046674370826913,0.8014573703133026,0.003210066769388731
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,123,123,svc,0.8046674370826913,0.8014573703133026,0.003210066769388731
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,123,999,svc,0.8046674370826913,0.8014573703133026,0.003210066769388731
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,999,42,svc,0.7811839323467231,0.8006278429111411,-0.019443910564417966
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,999,123,svc,0.7811839323467231,0.8006278429111411,-0.019443910564417966
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,999,999,svc,0.7811839323467231,0.8006278429111411,-0.019443910564417966
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,2024,42,svc,0.7969047733423003,0.8045187426942724,-0.007613969351972116
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,2024,123,svc,0.7969047733423003,0.8045187426942724,-0.007613969351972116
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,2024,999,svc,0.7969047733423003,0.8045187426942724,-0.007613969351972116
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,7,42,svc,0.8088095806369036,0.8071629705019966,0.0016466101349069673
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,7,123,svc,0.8088095806369036,0.8062633018026764,0.0025462788342272002
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,7,999,svc,0.8088095806369036,0.8085350425595853,0.00027453807731825375
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,42,42,svc,0.8077348066298342,0.8322664279761721,-0.024531621346337906
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,42,123,svc,0.8072502237723387,0.8328189141640174,-0.02556869039167875
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,42,999,svc,0.8072502237723387,0.8333714003518626,-0.026121176579523953
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,123,42,svc,0.8128465889771568,0.8117337949367871,0.00111279404036968
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,123,123,svc,0.8128465889771568,0.8117337949367871,0.00111279404036968
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,123,999,svc,0.8128465889771568,0.8117337949367871,0.00111279404036968
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,999,42,svc,0.8241329877673085,0.8166121111919188,0.00752087657538969
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,999,123,svc,0.8241329877673085,0.8171881231640776,0.006944864603230849
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,999,999,svc,0.8241329877673085,0.8171881231640776,0.006944864603230849
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,2024,42,svc,0.7996138996138996,0.8057606177606178,-0.006146718146718189
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,2024,123,svc,0.7996138996138996,0.8057297297297297,-0.0061158301158300565
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,2024,999,svc,0.7996138996138996,0.8051891891891891,-0.0055752895752895215
ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500,7,42,svc,0.7864732521483093,0.7963066681602151,-0.009833416011905793
ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500,7,123,svc,0.7864732521483093,0.7963066681602151,-0.009833416011905793
ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500,7,999,svc,0.7864732521483093,0.7963066681602151,-0.009833416011905793
ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500,42,42,svc,0.7605340676229508,0.7594454405737705,0.0010886270491803351
ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500,42,123,svc,0.7605340676229508,0.7594454405737705,0.0010886270491803351
ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500,42,999,svc,0.7605340676229508,0.7594454405737705,0.0010886270491803351
ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500,123,42,svc,0.7871611343293141,0.7819970857152008,0.005164048614113348
