group,model,family,budget,e_p1_ood,p2.5,p97.5
unsw_dos_m2_centroid,gpc,classical_ext,5,0.8732898979722731,0.825535767946868,0.8989833894635998
unsw_dos_m2_centroid,gpc,classical_ext,10,0.8784535774695649,0.8534421318437272,0.8959897377391037
unsw_dos_m2_centroid,gpc,classical_ext,20,0.8808200420918133,0.8642075774872672,0.8925768165144716
unsw_dos_m2_centroid,gpc,classical_ext,30,0.8799353748503947,0.8703362532100266,0.887412586666809
unsw_dos_m2_centroid,gpc,quantum,5,0.9020250875946434,0.8812041474710615,0.9205841698858962
unsw_dos_m2_centroid,gpc,quantum,10,0.9023143842035417,0.8876786344352262,0.9149959076306816
unsw_dos_m2_centroid,gpc,quantum,20,0.9035122611675414,0.9033894074432337,0.9036326821448336
unsw_dos_natural_cur,gpc,classical_ext,5,0.7935363589569905,0.7509285031780515,0.8176092288612881
unsw_dos_natural_cur,gpc,classical_ext,10,0.8012508639638581,0.7781245920914531,0.8175076461294775
unsw_dos_natural_cur,gpc,classical_ext,20,0.8063154567773507,0.7936104700042538,0.8173897080111168
unsw_dos_natural_cur,gpc,classical_ext,30,0.8085235822888244,0.7980182588813957,0.8171588256361356
unsw_dos_natural_cur,gpc,classical_ext,40,0.8100424242950064,0.8007480921181902,0.8171950072803783
unsw_dos_natural_cur,gpc,classical_ext,50,0.8111509456656313,0.803026223057326,0.8170843344744668
unsw_dos_natural_cur,gpc,classical_ext,60,0.8121377693299493,0.8049469573319205,0.8169113109259334
unsw_dos_natural_cur,gpc,classical_ext,115,0.8136688364753933,,
unsw_dos_natural_cur,gpc,quantum,5,0.7952837464875544,0.7764905987148321,0.8117069135102281
unsw_dos_natural_cur,gpc,quantum,10,0.7993588126879195,0.7858676326927364,0.810122016625581
unsw_dos_natural_cur,gpc,quantum,20,0.8032401708357875,0.7939973897064662,0.8095233276046708
unsw_dos_natural_cur,gpc,quantum,30,0.8047612912775158,0.7983330065976478,0.8090547857786791
unsw_dos_natural_cur,gpc,quantum,40,0.8053432325364173,0.8013158999884133,0.808772825013462
unsw_dos_natural_cur,gpc,quantum,50,0.805471901950721,0.8031738861961483,0.8077461078124549
unsw_dos_natural_cur,gpc,quantum,60,0.8053868308547858,0.8051004268748484,0.8056869656692153
unsw_recon_m2_centroid,gpc,classical_ext,5,0.8869685101430337,0.8470050396276677,0.9101650736001203
unsw_recon_m2_centroid,gpc,classical_ext,10,0.8955784297464525,0.869372149596854,0.9088117975584197
unsw_recon_m2_centroid,gpc,classical_ext,20,0.9016152505676612,0.88425926920499,0.9076393366489727
unsw_recon_m2_centroid,gpc,classical_ext,30,0.9053444637977514,0.9006109143517316,0.9071942935167117
unsw_recon_m2_centroid,gpc,quantum,5,0.9038633590924507,0.8833284880723282,0.9230386427696536
unsw_recon_m2_centroid,gpc,quantum,10,0.9043398741798947,0.8925319894654798,0.9158639744532729
unsw_recon_m2_centroid,gpc,quantum,20,0.9039564447873423,0.903933183721398,0.9039783508397358
unsw_recon_natural_cur,gpc,classical_ext,5,0.7807636955015604,0.7547301131016783,0.7989928578076686
unsw_recon_natural_cur,gpc,classical_ext,10,0.7850396688531696,0.7713665989376037,0.7967029897378747
unsw_recon_natural_cur,gpc,classical_ext,20,0.787411175057458,0.7783783880698556,0.7943208101009831
unsw_recon_natural_cur,gpc,classical_ext,30,0.7886208052981235,0.7811815589853126,0.7942338288586643
unsw_recon_natural_cur,gpc,classical_ext,40,0.7893635983789034,0.7835119250981935,0.7941972161181953
unsw_recon_natural_cur,gpc,classical_ext,50,0.7899142446679149,0.7849384414853002,0.7942564390674399
unsw_recon_natural_cur,gpc,classical_ext,60,0.7901136043889614,0.7850211480594615,0.7941835381649959
unsw_recon_natural_cur,gpc,classical_ext,115,0.7894368005571933,,
unsw_recon_natural_cur,gpc,quantum,5,0.7858840060891954,0.7706426752121064,0.7983216371715618
unsw_recon_natural_cur,gpc,quantum,10,0.7885989637400141,0.778355965733046,0.7974267350476713
unsw_recon_natural_cur,gpc,quantum,20,0.7911252268800517,0.7850892657179483,0.7960004998736706
unsw_recon_natural_cur,gpc,quantum,30,0.7919574438910636,0.787924445951317,0.7954621962565511
unsw_recon_natural_cur,gpc,quantum,40,0.7923574651281019,0.7892581836421216,0.795187713586667
