group,setting,model,scheme,budget,delta_median,delta_p2.5,delta_p97.5,frac_lt0
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q2000_id1000_ood1000,svc,kernel_stratified,60,-0.02340653673055948,-0.023813790426408077,-0.022823160829936406,1.0
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q4000_id1800_ood1800,svc,kernel_stratified,60,-0.061787269831053204,-0.062122282986396105,-0.06111994605039661,1.0
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms999__q1000_id500_ood500,svc,kernel_stratified,60,-0.02620551663712911,-0.03233496183912743,-0.023198971484878927,1.0
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms999__q2000_id1000_ood1000,svc,kernel_stratified,60,-0.015525227089655647,-0.017392447006668088,-0.013376789589655602,1.0
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms999__q4000_id1800_ood1800,svc,kernel_stratified,60,-0.03224748820831258,-0.03336124938485674,-0.026283258016681743,1.0
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms123__q1000_id500_ood500,svc,kernel_blocked,60,-0.016926012890480457,-0.017333886712332602,-0.01648439079911923,1.0
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms123__q2000_id1000_ood1000,svc,kernel_blocked,60,-0.028360462902366823,-0.02913833898202134,-0.025386492332473254,1.0
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms123__q4000_id1800_ood1800,svc,kernel_blocked,60,-0.07022733167598705,-0.0705651898430113,-0.06676834212316085,1.0
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q1000_id500_ood500,svc,kernel_blocked,60,-0.04539637004626029,-0.04663093794749473,-0.04424180788700949,1.0
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q2000_id1000_ood1000,svc,kernel_blocked,60,-0.023228924298241638,-0.023826617541910955,-0.023007206266666413,1.0
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q4000_id1800_ood1800,svc,kernel_blocked,60,-0.06177978120958627,-0.062115378518867725,-0.05996509194772437,1.0
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms999__q1000_id500_ood500,svc,kernel_blocked,60,-0.02468460408960038,-0.03197678673912352,-0.019283994057242793,1.0
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms999__q2000_id1000_ood1000,svc,kernel_blocked,60,-0.016415884506668088,-0.019179100043928643,-0.014137834848276243,1.0
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms999__q4000_id1800_ood1800,svc,kernel_blocked,60,-0.03235689739868419,-0.033548095423720614,-0.02598972703860669,1.0
